Study,Title,Nsite,Nyear
1047,Stormwater basins of the New Jersey coastal plain: Subsidies or sinks for frogs and toads?,36,1
1049,Value of Artificial Habitats for Amphibian Reproduction in Altered Landscapes,1,1
1051,Amphibian use of urban stormwater wetlands: the role of natural habitat features,1,1
1055,Bee richness and abundance in New York city urban gardens,1,1
1059,Quantifying and comparing bumblebee nest densities in gardens and countryside habitats,1,1
1062,Changing Bee and Hoverfly Pollinator Assemblages along an Urban-Rural Gradient,24,1
1076,Enhancing urban biodiversity and its influence on city-dwellers: An experiment,1,1
1094,Local and management variables outweigh landscape effects in enhancing the diversity of different taxa in a big metropolis,1,1
1101,The conservation value of urban green space habitats for Australian native bee communities,205,1
1105,"Humans, bees, and pollination services in the city: the case of Chicago, IL (USA)",1,1
1107,Small scale additions of native plants fail to increase beneficial insect richness in urban gardens,1,1
1120,Going native? Flower use by bumblebees in English urban gardens,1,1
1123,Diversity of wild bees supports pollination services in an urbanized landscape,1,1
1126,Urban gardens promote bee foraging over natural habitats and plantations,2,1
1127,"Public approval plus more wildlife: twin benefits of reduced mowing of amenity grass in a suburban public park in Saltdean, UK",1,1
1156,"Bumblebees in the city: abundance, species richness and diversity in two urban habitats",2,1
1167,Wild bees as pollinators of city trees,1,1
1198,Taxonomic and functional trait diversity of wild bees in different urban settings,24,2
1255,"Buzzing on top: Linking wild bee diversity, abundance and traits with green roof qualities",9,1
1265,Patterns of pollinator turnover and increasing diversity associated with urban habitats,1,1
1269,Urbanization alters communities of flying arthropods in parks and gardens of a medium-sized city,30,1
1273,Pollinator diversity and reproductive success of Epipactis helleborine (L.) Crantz (Orchidaceae) in anthropogenic and natural habitats,8,2
1274,Bee-friendly community gardens: Impact of environmental variables on the richness and abundance of exotic and native bees,1,1
1286,Birds and the urban environment: the value of green walls,1,1
1287,Ground-Nesting Birds on Green Roofs in Switzerland: Preliminary Observations,1,2
1288,Green Roofs ? Urban Habitats for Ground-Nesting Birds and Plants,8,4
1290,Can green roofs provide habitat for urban bees (Hymenoptera: Apidae)?,7,1
1291,An assessment of pollen limitation on Chicago green roofs,1,1
1292,"A comparison of bee communities of Chicago green roofs, parks and prairies",1,1
1294,Building biodiversity: Vegetated fa?ades as habitats for spider and beetle assemblages,33,1
1296,Investigation of weed phenology in an establishing semi-extensive green roof,1,1
1297,Do green roofs provide habitat for bats in urban areas?,1,1
1299,Habitat connectivity shapes urban arthropod communities: the key role of green roofs,78,1
1300,Factors Influencing Arthropod Diversity on Green Roofs,6,1
1301,Soil formation on green roofs and its contribution to urban biodiversity with emphasis on Collembolans,10,1
1303,Urban domestic gardens (VI): environmental correlates of invertebrate species richness,3,1
