Study,Nsite,Nyears
Andersen et al.,5,1
Anderson et al.,8,3
Augustine & Frank,2,36
Augustine & McNaughton,1,3
B?›ez et al.,8,8
Bagchi et al.,2,1
Bakker et al.,17,7
Beck et al.,3,7
Begley-Miller et al.,2,23
Borer et al.,3,28
Bricker et al.,4,2
Brocardo et al.,3,3
Bugalho et al.,6,2
Burkepile et al.,4,7
C?t?? et al.,2,1
Camargo-Sanabria et al.,6,3
Christopher et al.,6,3
Clark et al.,1,1
Collard et al.,16,7
Cornett et al.,8,29
Coupe et al.,3,4
Cushman et al.,8,4
D?›valos et al.,1,3
del-Val & Crawley,4,2
del-Val et al.,3,1
Dlott & Turkington,2,1
Dunham,1,1
Ferreira et al.,3,1
Fine et al.,1,2
Ford et al.,2,5
Forrester et al.,2,17
Fraser & Grime,6,1
Fraser & Madson,1,1
Goheen & Palmer,6,17
Goheen et al.,4,3
Grainger & Turkington,1,22
Gripenberg et al.,5,1
Guariguata et al.,1,1
Guti??rrez-Granados et al.,6,1
Herrera et al.,2,3
Hidding et al.,1,8
Hobbs et al.,1,20
Holmes & Webster,2,2
Howe & Brown,29,2
Hu et al.,1,5
Hulme,4,1
Huntzinger et al.,1,3
Husheer et al.,2,4
Ickes et al.,4,1
John & Turkington,7,2
Johnson et al.,8,2
Kalisz et al.,1,7
Kauffman & Maron,1,5
Keesing ,1,3
Keuroghlian & Eaton,2,1
Koerner et al.,4,7
Korell et al.,8,1
Kuijper et al.,3,7
Kurten & Carson,4,12
La Pierre et al.,18,8
Lagendijk et al.,6,2
Larouche et al.,1,2
Liang et al.,8,3
Lilleeng et al.,1,10
Long et al.,6,9
Louda & Potvin,2,1
Maher et al.,1,1
Maron,1,1
Maron & Kauffman,6,5
Maron & Pearson ,4,5
Maron et al.,18,2
Martin & Wilsey,10,1
McInnes et al.,2,36
Merrill et al.,38,6
Moe et al.,12,1
Norghauer & Newbery,4,1
Nuttle et al.,3,6
Olnes & Kielland,3,19
Osunkjoya et al.,12,1
Pacheco,24,1
Paine & Beck,6,1
Pearson & Callaway,4,3
Peters,2,1
Pringle et al.,7,2
Prugh & Brashares,4,3
Rooney,5,16
Royo & Carson,27,4
Royo et al.,6,6
Rueda et al.,2,3
Russell et al.,5,1
Sankaran et al.,8,10
Siemann & Rogers,3,2
St Clair et al.,2,4
Stein et al.,8,5
Stohlgren et al.,19,32
Sun et al.,1,1
Suzuki,3,1
Swamy & Terborgh,11,3
Terborgh & Wright,6,12
Theimer et al.,6,11
V?re et al.,1,30
Vargas & Stevenson,2,2
Veblen & Young,2,1
Vitt et al.,1,3
Waller & Maas ,3,1
Wardle et al.,8,13
Webb & Peart,2,2
Webster et al.,25,8
White,1,17
Young & Augustine,4,5
Young et al.,2,5
Zakrisson et al.,1,3
Zwolak et al.,3,1
