"","rep","type","nstudies"
"1",1,"years",9
"2",2,"years",3
"3",3,"years",2
"4",4,"years",1
"5",5,"years",1
"6",6,"years",1
"7",7,"years",1
"8",8,"years",1
"9",9,"years",0
"10",10,"years",0
"11",11,"years",0
"12",12,"years",0
"13",13,"years",0
"14",14,"years",0
"15",15,"years",0
"16",16,"years",0
"17",17,"years",0
"18",18,"years",0
"19",19,"years",0
"20",20,"years",0
"21",21,"years",0
"22",22,"years",0
"23",23,"years",0
"24",24,"years",0
"25",25,"years",0
"26",26,"years",0
"27",27,"years",0
"28",28,"years",0
"29",29,"years",0
"30",30,"years",0
"31",1,"sites",35
"32",2,"sites",31
"33",3,"sites",30
"34",4,"sites",27
"35",5,"sites",27
"36",6,"sites",26
"37",7,"sites",25
"38",8,"sites",23
"39",9,"sites",22
"40",10,"sites",19
"41",11,"sites",18
"42",12,"sites",16
"43",13,"sites",16
"44",14,"sites",16
"45",15,"sites",16
"46",16,"sites",16
"47",17,"sites",16
"48",18,"sites",16
"49",19,"sites",16
"50",20,"sites",16
"51",21,"sites",16
"52",22,"sites",15
"53",23,"sites",15
"54",24,"sites",13
"55",25,"sites",13
"56",26,"sites",13
"57",27,"sites",13
"58",28,"sites",13
"59",29,"sites",13
"60",30,"sites",11
